ITEM: TIMESTEP
5000
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.2920507710863542e+00 6.1729010299258675e+01 5.5494495383062645e+00
1.1461529366084957e+00 8.7983299794646427e+01 4.7595099898656983e+00
-6.9822104248359396e-01 1.1369338704248413e+02 2.7196983731255067e+01
ITEM: ATOMS id mol type x y z ix iy iz 
1 1 1 8.54116 31.5549 113.674 0 0 -1 
2 1 1 2.79817 4.14281 0.214621 0 0 0 
3 1 1 3.04309 3.62767 1.47931 0 0 0 
4 1 1 2.00846 3.56932 2.46674 0 0 0 
5 1 1 2.27118 3.03877 3.72477 0 0 0 
6 1 1 1.30165 2.89783 4.73122 0 0 0 
7 1 1 0.0212723 3.35552 4.48008 0 0 0 
8 1 1 -0.290336 3.94959 3.23324 0 0 0 
9 1 1 0.695709 4.00138 2.21549 0 0 0 
10 1 1 0.393379 4.47456 0.940366 0 0 0 
11 1 1 8.25685 31.927 112.411 0 0 -1 
12 1 2 4.81217 3.99399 -0.563247 0 0 0 
13 1 2 4.03409 3.22569 1.6083 0 0 0 
14 1 2 3.28552 2.74397 3.87421 0 0 0 
15 1 2 6.99353 62.0512 5.70571 0 -1 0 
16 1 2 -0.763506 3.21806 5.30267 0 0 0 
17 1 2 51.3893 4.22349 3.06289 -1 0 0 
18 1 2 -0.51719 4.89218 0.693369 0 0 0 
19 1 1 5.95569 32.2788 113.065 0 0 -1 
20 1 1 6.999 32.4305 112.099 0 0 -1 
21 1 1 6.76233 32.9375 110.799 0 0 -1 
22 1 1 7.76841 33.0333 109.845 0 0 -1 
23 1 1 7.49857 33.6826 108.635 0 0 -1 
24 1 1 8.40123 33.5291 107.555 0 0 -1 
25 1 1 9.67814 32.9913 107.79 0 0 -1 
26 1 1 9.94599 32.4778 109.094 0 0 -1 
27 1 1 8.987 32.4766 110.162 0 0 -1 
28 1 1 9.26616 31.9353 111.463 0 0 -1 
29 1 1 1.46762 4.58365 -0.0761845 0 0 0 
30 1 2 4.97099 32.5812 112.86 0 0 -1 
31 1 2 5.80545 33.3823 110.528 0 0 -1 
32 1 2 6.46987 33.9729 108.331 0 0 -1 
33 1 2 8.15914 33.9401 106.546 0 0 -1 
34 1 2 10.4476 32.9781 106.97 0 0 -1 
35 1 2 11.0222 32.1695 109.302 0 0 -1 
36 1 2 10.2744 31.7584 111.783 0 0 -1 
37 2 1 60.5447 87.557 112.248 -1 -1 -1 
38 2 1 60.7982 87.37 113.633 -1 -1 -1 
39 2 1 55.0494 59.6916 0.0828572 -1 -1 0 
40 2 1 55.3104 59.4008 1.45249 -1 -1 0 
41 2 1 54.2539 59.127 2.40859 -1 -1 0 
42 2 1 54.5857 58.9167 3.74494 -1 -1 0 
43 2 1 55.8616 59.3111 4.2752 -1 -1 0 
44 2 1 56.8964 59.6422 3.38581 -1 -1 0 
45 2 1 56.6236 59.7069 1.99282 -1 -1 0 
46 2 1 4.85744 60.2583 1.14655 0 -1 0 
47 2 1 56.0365 28.4157 111.443 -1 0 -1 
48 2 2 59.6373 87.2398 111.807 -1 -1 -1 
49 2 2 54.1053 59.6901 -0.332248 -1 -1 0 
50 2 2 53.18 58.9751 2.03245 -1 -1 0 
51 2 2 53.729 58.7969 4.37319 -1 -1 0 
52 2 2 55.9944 59.3995 5.33184 -1 -1 0 
53 2 2 5.19258 59.9362 3.67529 0 -1 0 
54 2 2 5.79046 60.6742 1.57949 0 -1 0 
55 2 1 4.87703 28.4596 113.352 0 0 -1 
56 2 1 4.58062 28.6801 112 0 0 -1 
57 2 1 5.60306 29.2514 111.213 0 0 -1 
58 2 1 5.47285 29.3455 109.813 0 0 -1 
59 2 1 6.56273 29.9133 109.134 0 0 -1 
60 2 1 6.41267 30.0021 107.754 0 0 -1 
61 2 1 5.28276 29.546 107.123 0 0 -1 
62 2 1 4.16456 29.0441 107.811 0 0 -1 
63 2 1 4.3219 28.9469 109.203 0 0 -1 
64 2 1 55.9015 28.6338 110.029 -1 0 -1 
65 2 1 4.65011 60.4226 -0.215607 0 -1 0 
66 2 2 1.05866 1.58938 -0.555151 0 0 0 
67 2 2 6.54952 29.4145 111.675 0 0 -1 
68 2 2 7.46461 30.3033 109.512 0 0 -1 
69 2 2 7.14338 30.4024 107.083 0 0 -1 
70 2 2 5.1454 29.6537 106.019 0 0 -1 
71 2 2 3.21463 28.7375 107.359 0 0 -1 
72 2 2 54.9998 28.4263 109.657 -1 0 -1 
73 3 1 4.32979 7.52035 13.8546 0 0 0 
74 3 1 3.28467 7.40551 14.7677 0 0 0 
75 3 1 3.49213 6.72665 15.9625 0 0 0 
76 3 1 2.52505 6.69724 16.9338 0 0 0 
77 3 1 2.76717 6.02999 18.1575 0 0 0 
78 3 1 1.81808 5.93903 19.1233 0 0 0 
79 3 1 0.601436 6.60764 18.9215 0 0 0 
80 3 1 0.342452 7.33067 17.7427 0 0 0 
81 3 1 1.30413 7.35113 16.7233 0 0 0 
82 3 1 1.01498 7.96064 15.4827 0 0 0 
83 3 1 4.05559 8.05647 12.5856 0 0 0 
84 3 2 5.39038 7.26108 14.0544 0 0 0 
85 3 2 4.45161 6.2168 16.1027 0 0 0 
86 3 2 9.23344 65.2652 18.3085 0 -1 0 
87 3 2 7.596 64.989 20.0471 0 -1 0 
88 3 2 -0.216548 6.50847 19.6331 0 0 0 
89 3 2 52.1165 7.83495 17.5873 -1 0 0 
90 3 2 -0.0187038 8.30154 15.2379 0 0 0 
91 3 1 1.77032 8.68174 13.2567 0 0 0 
92 3 1 2.78995 8.5991 12.2869 0 0 0 
93 3 1 2.47595 9.09546 10.9938 0 0 0 
94 3 1 3.51292 9.09788 10.0136 0 0 0 
95 3 1 3.23687 9.71979 8.78757 0 0 0 
96 3 1 4.29417 9.82098 7.89015 0 0 0 
97 3 1 5.48892 9.1102 8.08278 0 0 0 
98 3 1 5.69981 8.45372 9.26431 0 0 0 
99 3 1 4.77651 8.50082 10.2739 0 0 0 
100 3 1 5.02196 7.97176 11.5694 0 0 0 
101 3 1 2.05918 8.04578 14.5196 0 0 0 
102 3 2 0.838343 9.10415 13.0322 0 0 0 
103 3 2 1.55801 9.46615 10.6059 0 0 0 
104 3 2 2.21303 10.1084 8.55771 0 0 0 
105 3 2 4.06976 10.3375 6.95639 0 0 0 
106 3 2 6.18814 9.01664 7.25219 0 0 0 
107 3 2 6.63676 7.99166 9.49319 0 0 0 
108 3 2 5.9152 7.54078 11.893 0 0 0 
109 4 1 56.3222 63.6526 12.9662 -1 -1 0 
110 4 1 56.5624 63.4177 14.3226 -1 -1 0 
111 4 1 55.5313 62.9406 15.1867 -1 -1 0 
112 4 1 55.7089 62.8568 16.5609 -1 -1 0 
113 4 1 54.6928 62.2442 17.3559 -1 -1 0 
114 4 1 54.9052 62.2025 18.7693 -1 -1 0 
115 4 1 56.0912 62.6583 19.3649 -1 -1 0 
116 4 1 57.0933 63.1354 18.5575 -1 -1 0 
117 4 1 56.9166 63.2475 17.1708 -1 -1 0 
118 4 1 5.24762 63.6989 16.335 0 -1 0 
119 4 1 51.7811 4.44559 12.1619 -1 0 0 
120 4 2 55.3446 63.455 12.5527 -1 -1 0 
121 4 2 54.6365 62.5857 14.7165 -1 -1 0 
122 4 2 53.8415 61.6923 16.9594 -1 -1 0 
123 4 2 54.1816 61.7455 19.4377 -1 -1 0 
124 4 2 56.2674 62.4759 20.3816 -1 -1 0 
125 4 2 5.28163 63.5794 18.9731 0 -1 0 
126 4 2 6.20099 64.0155 16.7205 0 -1 0 
127 4 1 0.483813 4.74747 14.1345 0 0 0 
128 4 1 0.292942 4.82271 12.7384 0 0 0 
129 4 1 1.28691 5.30319 11.8468 0 0 0 
130 4 1 1.0701 5.29907 10.4561 0 0 0 
131 4 1 2.06527 5.74949 9.58849 0 0 0 
132 4 1 1.86418 5.87447 8.20892 0 0 0 
133 4 1 0.644992 5.50088 7.63858 0 0 0 
134 4 1 -0.411352 5.1546 8.52394 0 0 0 
135 4 1 -0.157251 5.02074 9.93131 0 0 0 
136 4 1 51.5906 4.51976 10.7911 -1 0 0 
137 4 1 5.03182 63.8009 14.9473 0 -1 0 
138 4 2 1.43283 5.03561 14.5523 0 0 0 
139 4 2 2.19257 5.62543 12.2988 0 0 0 
140 4 2 3.05273 6.04692 10.0014 0 0 0 
141 4 2 2.58793 6.28135 7.59186 0 0 0 
142 4 2 0.506779 5.47884 6.59046 0 0 0 
143 4 2 51.406 4.87794 8.05367 -1 0 0 
144 4 2 50.5995 4.24765 10.4237 -1 0 0 
145 5 1 5.02415 10.9081 28.1615 0 0 0 
146 5 1 3.99224 10.9344 29.0828 0 0 0 
147 5 1 4.18874 10.3336 30.3486 0 0 0 
148 5 1 3.24807 10.4674 31.3464 0 0 0 
149 5 1 3.52564 9.90179 32.6151 0 0 0 
150 5 1 2.50124 9.91345 33.5956 0 0 0 
151 5 1 1.20192 10.4097 33.3711 0 0 0 
152 5 1 1.03666 11.0896 32.1385 0 0 0 
153 5 1 1.96984 11.0784 31.0546 0 0 0 
154 5 1 1.72469 11.602 29.7862 0 0 0 
155 5 1 4.77955 11.4685 26.8771 0 0 0 
156 5 2 5.91764 10.399 28.419 0 0 0 
157 5 2 5.07351 9.83755 30.5818 0 0 0 
158 5 2 4.42883 9.43269 32.8353 0 0 0 
159 5 2 8.3242 68.9706 34.4537 0 -1 0 
160 5 2 0.477141 10.4793 34.2673 0 0 0 
161 5 2 52.7849 11.5706 31.9561 -1 0 0 
162 5 2 0.817872 12.1213 29.6318 0 0 0 
163 5 1 2.51832 12.1088 27.5313 0 0 0 
164 5 1 3.52971 12.0444 26.5751 0 0 0 
165 5 1 3.26777 12.483 25.2701 0 0 0 
166 5 1 4.31107 12.4954 24.2888 0 0 0 
