ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
2304
ITEM: BOX BOUNDS xy xz yz pp pp pp
0.0000000000000000e+00 2.9120725000000000e+01 2.8813730000000000e+00
0.0000000000000000e+00 3.7682479000000001e+01 1.1753520000000000e+00
0.0000000000000000e+00 2.8248791000000001e+01 6.7162439999999997e+00
ITEM: ATOMS id mol type x y z ix iy iz 
1 1 1 4.7123 3.21182 0.23125 0 0 0 
2 1 1 3.72112 3.21928 1.22694 0 0 0 
3 1 1 3.94527 2.57183 2.4539 0 0 0 
4 1 1 2.95518 2.58375 3.45129 0 0 0 
5 1 1 3.17813 1.94239 4.68258 0 0 0 
6 1 1 2.18059 1.95079 5.67072 0 0 0 
7 1 1 0.963034 2.60783 5.43663 0 0 0 
8 1 1 0.738981 3.25391 4.21228 0 0 0 
9 1 1 1.72981 3.24217 3.21603 0 0 0 
10 1 1 1.50552 3.88772 1.98886 0 0 0 
11 1 1 5.66454 10.5783 27.2548 0 0 -1 
12 1 2 5.6539 2.70184 0.40869 0 0 0 
13 1 2 4.88706 2.06219 2.63219 0 0 0 
14 1 2 4.11973 1.43681 4.87438 0 0 0 
15 1 2 5.2303 32.4129 6.61669 0 -1 0 
16 1 2 25.2583 2.61889 6.2027 -1 0 0 
17 1 2 24.8589 3.75918 4.03886 -1 0 0 
18 1 2 0.56386 4.39697 1.81025 0 0 0 
19 1 1 3.44939 11.246 28.0176 0 0 -1 
20 1 1 4.44058 11.2385 27.0218 0 0 -1 
21 1 1 4.21642 11.886 25.7949 0 0 -1 
22 1 1 5.20651 11.874 24.7975 0 0 -1 
23 1 1 4.98356 12.5154 23.5662 0 0 -1 
24 1 1 5.9811 12.507 22.5781 0 0 -1 
25 1 1 7.19866 11.85 22.8122 0 0 -1 
26 1 1 7.4227 11.2039 24.0365 0 0 -1 
27 1 1 6.43189 11.2156 25.0328 0 0 -1 
28 1 1 6.65616 10.5701 26.2599 0 0 -1 
29 1 1 2.49714 3.87953 0.993922 0 0 0 
30 1 2 2.50779 11.7559 27.8401 0 0 -1 
31 1 2 3.27464 12.3956 25.6166 0 0 -1 
32 1 2 4.04197 13.021 23.3744 0 0 -1 
33 1 2 5.81276 13.0111 21.6321 0 0 -1 
34 1 2 7.96743 11.8389 22.0461 0 0 -1 
35 1 2 8.36677 10.6986 24.2099 0 0 -1 
36 1 2 7.59784 10.0608 26.4385 0 0 -1 
37 2 1 27.9017 37.2522 27.6986 -1 -1 -1 
38 2 1 26.9491 30.4246 0.832398 -1 -1 0 
39 2 1 25.9565 29.8836 1.66591 -1 -1 0 
40 2 1 26.1796 29.768 3.04767 -1 -1 0 
41 2 1 25.1869 29.2234 3.87918 -1 -1 0 
42 2 1 25.4118 29.1027 5.25798 -1 -1 0 
43 2 1 26.6309 29.5253 5.81117 -1 -1 0 
44 2 1 27.628 30.0687 4.98498 -1 -1 0 
45 2 1 27.4052 30.1942 3.60186 -1 -1 0 
46 2 1 3.33224 30.7398 2.76785 0 -1 0 
47 2 1 26.0119 6.82763 26.8637 -1 0 -1 
48 2 2 26.9601 36.9184 27.2743 -1 -1 -1 
49 2 2 25.0149 29.5512 1.24073 -1 -1 0 
50 2 2 24.2432 28.8912 3.45972 -1 -1 0 
51 2 2 24.6423 28.6761 5.89239 -1 -1 0 
