ITEM: TIMESTEP
15000
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.4573366857295520e+00 6.1861463507472472e+01 5.5225504714569587e+00
1.2906956271741228e+00 8.7804850861747298e+01 4.7535763502863322e+00
-6.2691553259668564e-01 1.1362208153259830e+02 2.7163077488921520e+01
ITEM: ATOMS id mol type x y z ix iy iz 
1 1 1 8.65063 32.2303 112.639 0 0 -1 
2 1 1 7.48747 32.1579 113.483 0 0 -1 
3 1 1 2.87969 4.29891 0.411007 0 0 0 
4 1 1 1.89905 4.32226 1.35147 0 0 0 
5 1 1 2.09142 3.82787 2.70638 0 0 0 
6 1 1 1.04041 3.84875 3.62393 0 0 0 
7 1 1 -0.24885 4.39683 3.23785 0 0 0 
8 1 1 -0.370917 4.92175 1.96063 0 0 0 
9 1 1 0.652539 4.93935 0.971613 0 0 0 
10 1 1 0.455356 5.49627 -0.336198 0 0 0 
11 1 1 8.58099 32.7933 111.311 0 0 -1 
12 1 2 9.54797 31.7 112.934 0 0 -1 
13 1 2 3.83196 3.81635 0.516261 0 0 0 
14 1 2 3.10754 3.45184 3.00635 0 0 0 
15 1 2 1.13246 3.56263 4.71267 0 0 0 
16 1 2 -0.960356 4.51194 4.02234 0 0 0 
17 1 2 51.7437 5.43503 1.59795 -1 0 0 
18 1 2 -0.472673 5.92865 -0.620689 0 0 0 
19 1 1 6.15546 33.3089 111.816 0 0 -1 
20 1 1 7.29828 33.3956 110.977 0 0 -1 
21 1 1 7.13602 33.9355 109.691 0 0 -1 
22 1 1 8.22329 33.8831 108.77 0 0 -1 
23 1 1 7.95612 34.3582 107.527 0 0 -1 
24 1 1 8.96121 34.3943 106.509 0 0 -1 
25 1 1 10.1889 33.6855 106.733 0 0 -1 
26 1 1 10.3809 33.1704 108.079 0 0 -1 
27 1 1 9.43312 33.2546 109.085 0 0 -1 
28 1 1 9.61609 32.7306 110.374 0 0 -1 
29 1 1 6.25346 32.6572 113.015 0 0 -1 
30 1 2 5.21335 33.7469 111.376 0 0 -1 
31 1 2 6.17818 34.29 109.444 0 0 -1 
32 1 2 7.07461 34.9348 107.216 0 0 -1 
33 1 2 8.79353 34.9681 105.606 0 0 -1 
34 1 2 11.0078 33.5097 106.049 0 0 -1 
35 1 2 11.3483 32.6369 108.274 0 0 -1 
36 1 2 10.5472 32.1419 110.671 0 0 -1 
37 2 1 55.3719 28.6366 112.06 -1 0 -1 
38 2 1 61.0386 87.7548 113.449 -1 -1 -1 
39 2 1 55.3189 59.8967 -0.0841172 -1 -1 0 
40 2 1 55.4325 59.7584 1.28542 -1 -1 0 
41 2 1 54.3343 59.2838 2.04504 -1 -1 0 
42 2 1 54.3954 59.0928 3.41348 -1 -1 0 
43 2 1 55.5189 59.4811 4.10451 -1 -1 0 
44 2 1 56.6512 59.9678 3.36712 -1 -1 0 
45 2 1 56.608 60.118 1.97354 -1 -1 0 
46 2 1 4.6356 60.6607 1.2178 0 -1 0 
47 2 1 3.41886 29.1571 111.309 0 0 -1 
48 2 2 54.4182 28.3953 111.599 -1 0 -1 
49 2 2 54.5174 59.4803 -0.68032 -1 -1 0 
50 2 2 53.3684 59.1429 1.46272 -1 -1 0 
51 2 2 53.5537 58.8206 3.96284 -1 -1 0 
52 2 2 55.5872 59.5528 5.17358 -1 -1 0 
53 2 2 4.46762 60.2434 3.91854 0 -1 0 
54 2 2 5.46008 61.04 1.76753 0 -1 0 
55 2 1 4.78478 29.2063 113.262 0 0 -1 
56 2 1 4.65262 29.467 111.893 0 0 -1 
57 2 1 5.72494 29.8833 111.101 0 0 -1 
58 2 1 5.58244 30.0043 109.689 0 0 -1 
59 2 1 6.64487 30.406 108.897 0 0 -1 
60 2 1 6.55277 30.4976 107.509 0 0 -1 
61 2 1 5.33647 30.3248 106.895 0 0 -1 
62 2 1 4.22958 29.8834 107.707 0 0 -1 
63 2 1 4.33709 29.7462 109.087 0 0 -1 
64 2 1 56.2926 29.3531 109.897 -1 0 -1 
65 2 1 -1.04021 1.58421 -0.19572 0 0 0 
66 2 2 1.03633 2.35166 -0.570838 0 0 0 
67 2 2 6.71271 30.044 111.614 0 0 -1 
68 2 2 7.57594 30.5913 109.397 0 0 -1 
69 2 2 7.43761 30.901 106.939 0 0 -1 
70 2 2 5.19837 30.4865 105.848 0 0 -1 
71 2 2 3.25057 29.6363 107.253 0 0 -1 
72 2 2 55.322 29.2049 109.451 -1 0 -1 
73 3 1 4.21529 7.95207 13.3997 0 0 0 
74 3 1 3.22232 7.98246 14.3925 0 0 0 
75 3 1 3.40132 7.3865 15.6301 0 0 0 
76 3 1 2.43337 7.51457 16.6296 0 0 0 
77 3 1 2.69844 7.04397 17.913 0 0 0 
78 3 1 1.65363 7.12381 18.899 0 0 0 
79 3 1 0.365123 7.6293 18.6204 0 0 0 
80 3 1 0.105143 8.05047 17.3095 0 0 0 
81 3 1 1.12804 8.07677 16.3135 0 0 0 
82 3 1 0.928151 8.694 15.0642 0 0 0 
83 3 1 4.01905 8.65937 12.1209 0 0 0 
84 3 2 5.16924 7.39367 13.5018 0 0 0 
85 3 2 4.28897 6.76949 15.7131 0 0 0 
86 3 2 3.67046 6.63332 18.1691 0 0 0 
87 3 2 2.03461 6.83672 19.8755 0 0 0 
88 3 2 -0.393038 7.63908 19.3533 0 0 0 
89 3 2 52.2739 8.55738 17.0162 -1 0 0 
90 3 2 -0.0446041 9.10338 14.8809 0 0 0 
91 3 1 1.83654 9.33688 12.886 0 0 0 
92 3 1 2.80643 9.28011 11.8415 0 0 0 
93 3 1 2.55047 9.80382 10.5593 0 0 0 
94 3 1 3.47616 9.79382 9.56246 0 0 0 
95 3 1 3.2 10.3062 8.2703 0 0 0 
96 3 1 4.19717 10.2656 7.28121 0 0 0 
97 3 1 5.41566 9.6068 7.56151 0 0 0 
98 3 1 5.67992 9.09744 8.86151 0 0 0 
99 3 1 4.71723 9.16691 9.84342 0 0 0 
100 3 1 5.01164 8.64217 11.184 0 0 0 
101 3 1 2.01222 8.67557 14.0911 0 0 0 
102 3 2 0.857637 9.72578 12.6566 0 0 0 
103 3 2 1.60089 10.2213 10.2693 0 0 0 
104 3 2 2.25755 10.7836 7.94717 0 0 0 
105 3 2 4.06578 10.6497 6.31182 0 0 0 
106 3 2 6.19655 9.49279 6.78208 0 0 0 
107 3 2 6.65887 8.8394 9.01804 0 0 0 
108 3 2 5.97091 8.17054 11.3089 0 0 0 
109 4 1 51.3872 4.61256 11.8229 -1 0 0 
110 4 1 57.1856 63.8339 13.2354 -1 -1 0 
111 4 1 56.1802 63.2771 14.1034 -1 -1 0 
112 4 1 56.4061 63.1117 15.3977 -1 -1 0 
113 4 1 55.4112 62.6751 16.2319 -1 -1 0 
114 4 1 55.4691 62.8461 17.6046 -1 -1 0 
115 4 1 56.7114 63.3102 18.125 -1 -1 0 
116 4 1 4.7828 63.5705 17.3139 0 -1 0 
